RowIndex,ReportingUnit,ReportingUnitName,DAUNumber,CoNumber,Name_ID,DAUName,CoName
938,DAU17151,DAU17151,171,51,DAU17151 : Yuba - Sutter,Yuba,Sutter
939,DAU20320,DAU20320,203,20,DAU20320 : San Joaquin  River - Madera,San Joaquin  River,Madera
941,DAU20924,DAU20924,209,24,DAU20924 : Turlock Lake - Merced,Turlock Lake,Merced
942,DAU22554,DAU22554,225,54,DAU22554 : Kaweah-Tule Interstream - Tulare,Kaweah-Tule Interstream,Tulare
944,DAU16611,DAU16611,166,11,DAU16611 : Durham-Sutter - Glenn,Durham-Sutter,Glenn
945,DAU16711,DAU16711,167,11,DAU16711 : Butte City - Glenn,Butte City,Glenn
946,DAU07040,DAU07040,70,40,DAU07040 : Santa Maria Valley-SLO - San Luis Obispo,Santa Maria Valley-SLO,San Luis Obispo
949,DAU33733,DAU33733,337,33,DAU33733 : Pleasant - Riverside,Pleasant,Riverside
951,DAU28514,DAU28514,285,14,DAU28514 : Death Valley - Inyo,Death Valley,Inyo
952,DAU16411,DAU16411,164,11,DAU16411 : Glenn-Knights Landing - Glenn,Glenn-Knights Landing,Glenn
954,DAU33333,DAU33333,333,33,DAU33333 : Rice - Riverside,Rice,Riverside
955,DAU17528,DAU17528,175,28,DAU17528 : Putah Creek - Napa,Putah Creek,Napa
